"GM_CODE,C,20";"GM_NAAM,C,60";"AANT_INW,N,10,0";"AANT_MAN,N,10,0";"AANT_VROUW,N,10,0";"P_00_14_JR,N,10,0";"P_15_24_JR,N,10,0";"P_25_44_JR,N,10,0";"P_45_64_JR,N,10,0";"P_65_EO_JR,N,10,0";"BEV_DICHTH,N,10,0";"AANTAL_HH,N,10,0";"P_EENP_HH,N,10,0";"P_HH_Z_K,N,10,0";"P_HH_M_K,N,10,0";"GEM_HH_GR,N,10,1";"P_WEST_AL,N,10,0";"P_N_W_AL,N,10,0";"P_MAROKKO,N,10,0";"P_ANT_ARU,N,10,0";"P_SURINAM,N,10,0";"P_TURKIJE,N,10,0";"P_OVER_NW,N,10,0";"OPP_TOT,N,10,0";"OPP_LAND,N,10,0";"OPP_WATER,N,10,0"
"GM0003";"Appingedam";12030;5790;6240;16;10;24;30;20;505;5445;33;35;32;2,2;8;5;0;0;1;2;1;2462;2380;82
"GM0005";"Bedum";10445;5245;5205;18;12;23;32;15;234;4255;28;34;38;2,4;4;2;0;0;0;0;1;4496;4458;38
"GM0007";"Bellingwedde";9260;4640;4620;15;10;21;34;21;85;4115;29;39;32;2,2;8;3;0;0;0;0;2;11007;10833;174
"GM0009";"Ten Boer";7425;3725;3700;21;11;25;30;13;164;2915;25;34;41;2,5;4;2;0;0;0;0;1;4571;4527;44
"GM0010";"Delfzijl";26635;13335;13300;16;11;23;30;20;200;11910;33;34;33;2,2;8;8;0;2;1;2;3;22748;13315;9434
"GM0014";"Groningen";187300;92675;94625;13;23;31;22;11;2393;109975;59;22;19;1,7;10;10;1;2;2;1;5;8372;7828;543
"GM0015";"Grootegast";12140;6210;5930;21;11;26;27;14;140;4635;24;32;44;2,6;2;1;0;0;0;0;1;8777;8682;95
"GM0017";"Haren";18515;8720;9795;17;9;18;30;25;406;8175;34;35;32;2,2;8;3;0;0;0;0;2;5070;4564;505
"GM0018";"Hoogezand-Sappemeer";34755;17160;17595;17;11;26;29;18;522;15410;33;33;34;2,2;7;11;1;1;4;3;2;7305;6662;643
"GM0022";"Leek";19365;9570;9795;19;11;25;29;16;306;7950;27;34;39;2,4;5;3;0;0;1;0;1;6427;6332;95
"GM0024";"Loppersum";10450;5315;5140;18;11;23;32;16;94;4380;29;34;37;2,3;4;2;0;0;0;0;1;11199;11103;96
"GM0025";"Marum";10450;5390;5060;20;12;26;29;14;162;4125;24;33;43;2,5;4;2;0;0;0;0;1;6488;6450;38
"GM0034";"Almere";188160;93510;94650;21;14;31;27;8;1449;76730;29;25;46;2,4;10;27;4;2;11;2;9;24877;12981;11895
"GM0037";"Stadskanaal";33415;16510;16910;17;11;24;29;20;284;14645;32;34;34;2,2;5;3;0;0;0;0;3;11996;11768;227
"GM0040";"Slochteren";15555;7950;7605;19;10;26;31;14;103;6350;25;35;40;2,4;4;2;0;0;0;0;1;15884;15110;774
"GM0047";"Veendam";28025;13910;14115;17;11;26;30;18;368;12320;30;35;35;2,2;5;6;0;0;1;3;2;7871;7610;261
"GM0048";"Vlagtwedde";16260;8060;8200;16;10;22;31;20;97;7110;30;36;34;2,3;6;2;0;0;0;0;2;17051;16761;291
"GM0050";"Zeewolde";20905;10620;10285;24;12;28;26;9;84;7855;23;29;48;2,6;7;4;0;0;1;0;3;26897;24863;2033
"GM0051";"Skarsterl‘n";27290;13685;13605;19;11;24;29;16;147;11185;28;34;38;2,4;4;2;0;0;0;0;1;21689;18527;3162
"GM0053";"Winsum";14075;7030;7045;20;11;23;32;15;139;5835;29;33;38;2,4;4;2;0;0;0;0;1;10253;10110;144
"GM0055";"Boarnsterhim";19355;9765;9590;20;10;26;29;15;128;8210;30;33;37;2,3;4;2;0;0;0;0;1;16859;15166;1693
"GM0056";"Zuidhorn";18570;9240;9330;21;11;25;28;15;148;7300;26;33;41;2,5;4;2;0;0;0;0;1;12837;12556;280
"GM0058";"Dongeradeel";24410;12235;12175;19;12;25;27;17;146;10130;30;33;37;2,4;3;2;0;0;0;0;2;26694;16729;9966
"GM0059";"Achtkarspelen";28090;14265;13825;19;12;26;27;15;274;11355;27;32;41;2,4;2;1;0;0;0;0;1;10399;10255;145
"GM0060";"Ameland";3500;1760;1740;19;9;25;30;17;60;1520;34;32;34;2,3;4;1;0;0;0;0;1;26850;5883;20967
