"BU_CODE,C,20";"BU_NAAM,C,60";"WK_CODE,C,8";"GM_CODE,C,6";"GM_NAAM,C,60";"AANT_INW,N,10,0";"AANT_MAN,N,10,0";"AANT_VROUW,N,10,0";"P_00_14_JR,N,10,0";"P_15_24_JR,N,10,0";"P_25_44_JR,N,10,0";"P_45_64_JR,N,10,0";"P_65_EO_JR,N,10,0";"BEV_DICHTH,N,10,0";"AANTAL_HH,N,10,0";"P_EENP_HH,N,10,0";"P_HH_Z_K,N,10,0";"P_HH_M_K,N,10,0";"GEM_HH_GR,N,10,1";"P_WEST_AL,N,10,0";"P_N_W_AL,N,10,0";"P_MAROKKO,N,10,0";"P_ANT_ARU,N,10,0";"P_SURINAM,N,10,0";"P_TURKIJE,N,10,0";"P_OVER_NW,N,10,0";"OPP_TOT,N,10,0";"OPP_LAND,N,10,0";"OPP_WATER,N,10,0"
"BU00030000";"Appingedam-Centrum";"WK000300";"GM0003";"Appingedam";2410;1090;1320;10;11;20;28;31;2861;1300;50;31;19;1,8;6;2;0;0;0;0;1;90;84;6
"BU00030001";"Appingedam-West";"WK000300";"GM0003";"Appingedam";3160;1580;1580;19;10;24;34;14;2013;1315;23;38;39;2,4;6;3;0;0;0;1;1;163;157;6
"BU00030002";"Appingedam-Oost";"WK000300";"GM0003";"Appingedam";5860;2810;3050;16;10;25;29;20;2055;2610;32;34;34;2,2;10;7;1;1;1;4;2;296;285;11
"BU00030007";"Verspreide huizen Damsterdiep en Eemskanaal";"WK000300";"GM0003";"Appingedam";360;180;180;25;7;32;27;8;67;120;10;38;52;2,8;5;0;-99999997;-99999997;-99999997;-99999997;-99999997;558;540;18
"BU00030008";"Verspreide huizen ten zuiden van Eemskanaal";"WK000300";"GM0003";"Appingedam";95;55;40;22;8;23;36;11;17;40;23;38;38;2,5;2;0;-99999997;-99999997;-99999997;-99999997;-99999997;587;560;28
"BU00030009";"Verspreide huizen ten noorden van het Damsterdiep";"WK000300";"GM0003";"Appingedam";145;75;70;24;6;20;33;17;19;55;23;39;39;2,6;5;0;-99999997;-99999997;-99999997;-99999997;-99999997;767;754;13
"BU00050000";"Bedum";"WK000500";"GM0005";"Bedum";8000;3995;4005;18;12;23;30;16;2599;3255;29;34;37;2,4;4;2;0;0;0;0;2;313;308;5
"BU00050001";"Verspreide huizen Bedum";"WK000500";"GM0005";"Bedum";450;230;220;19;16;18;38;9;21;160;18;35;47;2,8;5;2;-99999997;-99999997;-99999997;-99999997;-99999997;2193;2180;12
"BU00050002";"Zuidwolde";"WK000500";"GM0005";"Bedum";960;475;485;17;12;20;37;14;1344;415;29;34;37;2,3;6;1;-99999997;-99999997;-99999997;-99999997;-99999997;74;71;3
"BU00050003";"Verspreide huizen Zuidwolde";"WK000500";"GM0005";"Bedum";125;65;60;23;9;20;39;9;18;50;23;44;33;2,6;4;2;-99999997;-99999997;-99999997;-99999997;-99999997;699;693;6
"BU00050004";"Onderdendam";"WK000500";"GM0005";"Bedum";540;280;260;16;14;26;31;12;974;235;31;34;35;2,3;4;1;-99999997;-99999997;-99999997;-99999997;-99999997;60;56;4
"BU00050005";"Verspreide huizen Onderdendam";"WK000500";"GM0005";"Bedum";85;50;40;15;13;24;36;13;16;35;15;45;39;2,6;7;0;-99999997;-99999997;-99999997;-99999997;-99999997;538;534;4
"BU00050006";"Noordwolde";"WK000500";"GM0005";"Bedum";145;70;70;17;10;19;39;15;605;60;22;34;43;2,5;6;1;-99999997;-99999997;-99999997;-99999997;-99999997;24;24;-99999998
"BU00050007";"Verspreide huizen Noordwolde";"WK000500";"GM0005";"Bedum";140;75;65;21;16;23;32;9;24;45;15;26;59;3,1;1;0;-99999997;-99999997;-99999997;-99999997;-99999997;596;593;3
"BU00070000";"Bellingwolde";"WK000700";"GM0007";"Bellingwedde";2305;1170;1140;16;9;24;31;20;518;1075;34;34;32;2,1;11;6;0;0;0;0;6;451;445;6
"BU00070001";"Vriescheloo";"WK000700";"GM0007";"Bellingwedde";275;140;135;12;7;24;39;18;207;115;19;55;26;2,2;3;0;-99999997;-99999997;-99999997;-99999997;-99999997;134;133;1
"BU00070002";"Rhederweg-West";"WK000700";"GM0007";"Bellingwedde";435;225;210;11;12;21;37;18;284;200;31;34;35;2,2;12;0;-99999997;-99999997;-99999997;-99999997;-99999997;155;153;2
"BU00070004";"Vriescheloo-Zuid";"WK000700";"GM0007";"Bellingwedde";450;225;225;13;9;23;34;22;566;215;34;37;30;2,1;5;0;-99999997;-99999997;-99999997;-99999997;-99999997;79;79;-99999998
"BU00070005";"Oudeschans";"WK000700";"GM0007";"Bellingwedde";85;40;40;7;5;8;55;25;191;50;42;46;12;1,8;10;1;-99999997;-99999997;-99999997;-99999997;-99999997;46;44;2
"BU00070006";"Klein-Ulsda";"WK000700";"GM0007";"Bellingwedde";40;25;15;-99999997;-99999997;-99999997;-99999997;-99999997;166;20;45;36;18;1,8;-99999997;-99999997;-99999997;-99999997;-99999997;-99999997;-99999997;25;23;1
"BU00070007";"Verspreide huizen ten zuidoosten van Bellingwolde";"WK000700";"GM0007";"Bellingwedde";400;195;200;16;10;18;38;18;93;165;16;52;33;2,4;12;0;-99999997;-99999997;-99999997;-99999997;-99999997;434;430;4
"BU00070008";"Verspreide huizen ten zuidoosten van Vriescheloo";"WK000700";"GM0007";"Bellingwedde";95;45;50;14;9;11;50;16;23;40;22;42;35;2,4;2;5;-99999997;-99999997;-99999997;-99999997;-99999997;435;422;13
"BU00070009";"Verspreide huizen Westerwoldse A";"WK000700";"GM0007";"Bellingwedde";80;40;40;28;4;33;25;10;3;25;11;41;48;2,9;6;0;-99999997;-99999997;-99999997;-99999997;-99999997;2604;2560;44
"BU00070100";"Veelerveen";"WK000701";"GM0007";"Bellingwedde";605;310;295;14;10;21;36;19;143;270;29;40;32;2,2;6;2;0;0;1;0;1;429;422;7
"BU00070101";"Rhederbrug-Oost";"WK000701";"GM0007";"Bellingwedde";145;75;75;14;3;27;32;25;75;65;23;55;22;2,3;4;0;-99999997;-99999997;-99999997;-99999997;-99999997;197;196;1
"BU00070108";"Verspreide huizen ten noordoosten van Rhederbrug";"WK000701";"GM0007";"Bellingwedde";110;55;55;12;11;13;41;24;21;50;19;48;33;2,3;14;5;-99999997;-99999997;-99999997;-99999997;-99999997;536;530;6
"BU00070109";"Verspreide huizen Veelerveen";"WK000701";"GM0007";"Bellingwedde";170;95;70;14;12;21;40;13;13;75;25;44;32;2,3;10;1;-99999997;-99999997;-99999997;-99999997;-99999997;1285;1262;23
"BU00070200";"Blijham";"WK000702";"GM0007";"Bellingwedde";2165;1010;1155;13;10;18;32;26;923;965;32;38;30;2,2;7;2;0;0;0;0;1;237;235;2
"BU00070201";"Morige";"WK000702";"GM0007";"Bellingwedde";415;230;185;13;11;20;43;13;347;170;16;49;36;2,4;7;1;-99999997;-99999997;-99999997;-99999997;-99999997;120;120;-99999998
