"WK_CODE,C,20";"WK_NAAM,C,60";"GM_CODE,C,6";"GM_NAAM,C,60";"AANT_INW,N,10,0";"AANT_MAN,N,10,0";"AANT_VROUW,N,10,0";"P_00_14_JR,N,10,0";"P_15_24_JR,N,10,0";"P_25_44_JR,N,10,0";"P_45_64_JR,N,10,0";"P_65_EO_JR,N,10,0";"BEV_DICHTH,N,10,0";"AANTAL_HH,N,10,0";"P_EENP_HH,N,10,0";"P_HH_Z_K,N,10,0";"P_HH_M_K,N,10,0";"GEM_HH_GR,N,10,1";"P_WEST_AL,N,10,0";"P_N_W_AL,N,10,0";"P_MAROKKO,N,10,0";"P_ANT_ARU,N,10,0";"P_SURINAM,N,10,0";"P_TURKIJE,N,10,0";"P_OVER_NW,N,10,0";"OPP_TOT,N,10,0";"OPP_LAND,N,10,0";"OPP_WATER,N,10,0"
"WK000300";"Wijk 00";"GM0003";"Appingedam";12030;5790;6240;16;10;24;30;20;505;5445;33;35;32;2,2;8;5;0;0;1;2;1;2462;2380;82
"WK000500";"Wijk 00";"GM0005";"Bedum";10445;5245;5205;18;12;23;32;15;234;4255;28;34;38;2,4;4;2;0;0;0;0;1;4496;4458;38
"WK000700";"Wijk 00 Bellingwolde";"GM0007";"Bellingwedde";4160;2105;2055;15;9;23;34;19;97;1900;31;38;31;2,2;9;4;0;0;0;0;3;4363;4289;74
"WK000701";"Wijk 01 Oost";"GM0007";"Bellingwedde";1030;540;490;14;9;21;37;20;43;455;26;43;30;2,3;8;2;0;0;1;0;1;2448;2411;37
"WK000702";"Wijk 02 Blijham";"GM0007";"Bellingwedde";4070;2000;2075;14;10;19;34;22;98;1760;28;39;33;2,3;6;2;0;0;0;0;1;4196;4133;63
"WK000900";"Wijk 00 West";"GM0009";"Ten Boer";5985;2965;3020;21;11;25;29;14;195;2320;24;35;42;2,5;4;2;0;0;0;0;1;3095;3066;29
"WK000901";"Wijk 01 Oost";"GM0009";"Ten Boer";1440;760;680;20;11;27;32;10;99;595;29;31;40;2,4;3;1;0;0;0;0;1;1476;1461;15
"WK001000";"Wijk 00 Stad";"GM0010";"Delfzijl";17945;8895;9050;15;11;23;29;23;1920;8365;36;33;31;2,1;9;12;0;3;1;4;4;1026;935;92
"WK001001";"Wijk 01 Land";"GM0010";"Delfzijl";810;440;370;18;10;22;36;13;22;320;17;41;42;2,5;4;0;-99999997;-99999997;-99999997;-99999997;-99999997;3830;3727;103
"WK001002";"Wijk 02";"GM0010";"Delfzijl";3890;1975;1920;17;10;25;32;16;94;1615;25;36;38;2,4;6;1;0;0;0;0;1;4216;4132;84
"WK001003";"Wijk 03";"GM0010";"Delfzijl";3985;2030;1960;18;11;24;32;16;88;1610;24;37;39;2,4;4;1;0;0;0;0;1;4547;4521;26
"WK001400";"Wijk 00 Binnenstad";"GM0014";"Groningen";17305;9140;8160;3;43;33;15;6;10844;13590;81;15;4;1,2;13;8;0;1;1;1;5;171;160;11
"WK001401";"Wijk 01 Schilders- en Zeeheldenwijk";"GM0014";"Groningen";23515;11490;12025;10;32;27;19;13;6652;14875;65;21;14;1,6;11;11;1;2;2;1;5;368;354;14
"WK001402";"Wijk 02 Oranjewijk";"GM0014";"Groningen";23275;11225;12050;12;22;29;21;17;1779;13990;60;23;17;1,6;11;15;1;2;2;2;8;1352;1308;44
"WK001403";"Wijk 03 Korrewegwijk";"GM0014";"Groningen";16525;8155;8365;9;35;35;15;6;9302;11410;70;19;11;1,4;10;13;1;3;3;1;6;186;178;9
"WK001404";"Wijk 04 Oosterparkwijk";"GM0014";"Groningen";10860;5370;5490;9;24;37;19;10;6070;7260;66;20;14;1,5;10;11;1;2;2;1;6;189;179;10
"WK001405";"Wijk 05 Oosterpoortwijk";"GM0014";"Groningen";8315;4190;4125;11;25;33;23;8;509;5190;63;23;14;1,6;12;6;0;1;1;0;4;1762;1634;128
"WK001406";"Wijk 06 Herewegwijk en Helpman";"GM0014";"Groningen";23830;11470;12360;11;20;31;23;16;4753;14370;61;24;16;1,6;11;7;0;1;1;0;4;508;501;6
"WK001407";"Wijk 07 Stadsparkwijk";"GM0014";"Groningen";15640;7565;8080;14;15;29;23;19;2210;8595;53;27;20;1,8;9;6;0;1;1;0;4;782;708;74
"WK001408";"Wijk 08 Hoogkerk";"GM0014";"Groningen";15425;7750;7675;24;9;33;24;10;885;6090;24;31;45;2,5;7;5;0;1;2;0;2;1928;1743;185
"WK001409";"Wijk 09 Noorddijk";"GM0014";"Groningen";32605;16310;16295;20;14;29;31;7;3066;14600;36;25;39;2,2;9;11;0;3;2;0;5;1127;1064;63
"WK001500";"Wijk 00 Grootegast";"GM0015";"Grootegast";5270;2675;2595;21;10;25;27;17;169;2045;26;32;43;2,5;2;1;0;0;0;0;1;3127;3113;14
"WK001501";"Wijk 01 Lutjegast";"GM0015";"Grootegast";1205;635;575;23;14;27;28;9;62;435;22;29;50;2,8;2;0;-99999997;-99999997;-99999997;-99999997;-99999997;1992;1958;34
"WK001502";"Wijk 02 Opende";"GM0015";"Grootegast";2845;1470;1375;21;12;28;27;13;193;1085;23;33;44;2,6;3;1;0;0;0;0;1;1512;1474;38
"WK001503";"Wijk 03 Oldekerk";"GM0015";"Grootegast";2820;1435;1385;22;12;26;28;13;132;1065;22;31;46;2,6;3;1;0;0;0;0;1;2146;2137;9
"WK001700";"Wijk 00 Centrum";"GM0017";"Haren";16710;7805;8905;17;9;19;30;25;1207;7450;35;34;31;2,2;8;3;0;0;0;0;2;1440;1385;55
"WK001701";"Wijk 01 Land";"GM0017";"Haren";1805;915;890;16;12;17;37;19;57;730;22;41;37;2,4;6;1;0;0;0;0;1;3630;3179;451
"WK001801";"Wijk 01 Foxham en Hoogezand-Noord";"GM0018";"Hoogezand-Sappemeer";6565;3190;3375;13;11;27;27;22;2234;3420;44;32;24;1,9;7;7;0;1;3;1;2;313;294;20
"WK001802";"Wijk 02 Hoogezand-Zuid";"GM0018";"Hoogezand-Sappemeer";12295;5910;6380;19;11;26;26;19;3369;5470;35;29;36;2,2;8;22;2;2;8;7;3;373;365;8
"WK001803";"Wijk 03 Kalkwijk";"GM0018";"Hoogezand-Sappemeer";3050;1475;1575;19;9;23;29;19;336;1235;21;39;40;2,5;5;5;0;1;2;1;2;912;908;3
"WK001805";"Wijk 05 Kiel-Windeweer";"GM0018";"Hoogezand-Sappemeer";920;480;435;20;11;22;39;9;64;355;17;39;44;2,6;5;2;0;1;1;0;0;1448;1434;14
"WK001806";"Wijk 06 Kropswolde";"GM0018";"Hoogezand-Sappemeer";1710;875;830;17;9;18;41;14;146;695;17;45;38;2,4;6;2;0;0;1;0;1;1611;1172;439
"WK001807";"Wijk 07 Foxhol";"GM0018";"Hoogezand-Sappemeer";1015;530;485;18;14;25;32;11;792;450;32;30;39;2,2;10;6;0;1;2;1;2;176;128;47
"WK001808";"Wijk 08 Westerbroek";"GM0018";"Hoogezand-Sappemeer";845;440;405;18;9;24;37;13;85;360;25;39;36;2,3;7;2;0;0;1;0;1;1065;989;76
"WK001809";"Wijk 09 Waterhuizen";"GM0018";"Hoogezand-Sappemeer";30;15;15;-99999997;-99999997;-99999997;-99999997;-99999997;45;15;23;38;38;2,4;-99999997;-99999997;-99999997;-99999997;-99999997;-99999997;-99999997;75;69;7
"WK001811";"Wijk 11 Sappemeer";"GM0018";"Hoogezand-Sappemeer";8330;4245;4090;17;11;28;29;15;640;3415;30;33;37;2,3;5;4;0;0;2;1;1;1331;1302;29
"WK002200";"Wijk 00 Leek";"GM0022";"Leek";10255;4950;5305;19;10;24;27;20;1684;4405;29;34;36;2,3;6;4;0;0;1;0;2;617;609;8
"WK002201";"Wijk 01 Zevenhuizen";"GM0022";"Leek";2880;1485;1395;20;10;24;31;14;129;1110;21;35;44;2,6;2;1;0;0;0;0;0;2243;2231;12
"WK002202";"Wijk 02 Tolbert";"GM0022";"Leek";4640;2305;2335;18;11;26;33;13;368;1830;28;31;41;2,4;5;2;0;0;1;0;1;1274;1261;13
"WK002204";"Wijk 04 Midwolde";"GM0022";"Leek";415;220;195;15;15;21;38;10;47;155;17;33;50;2,7;2;1;-99999997;-99999997;-99999997;-99999997;-99999997;882;878;4
"WK002205";"Wijk 05 Lettelbert";"GM0022";"Leek";180;95;85;17;18;13;39;14;29;65;21;35;44;2,7;6;1;-99999997;-99999997;-99999997;-99999997;-99999997;639;617;22
